step,step_loss,lr
695,0.078461,0.00008247
696,0.225056,0.00008241
697,0.136164,0.00008234
698,0.180200,0.00008227
699,0.219597,0.00008221
700,0.204477,0.00008214
701,0.094771,0.00008207
702,0.131758,0.00008201
703,0.072391,0.00008194
704,0.155807,0.00008187
705,0.114540,0.00008180
706,0.152197,0.00008174
707,0.108871,0.00008167
708,0.141392,0.00008160
709,0.132029,0.00008153
710,0.117360,0.00008147
711,0.188436,0.00008140
712,0.213464,0.00008133
713,0.176084,0.00008126
714,0.100937,0.00008126
715,0.271295,0.00008119
716,0.171131,0.00008113
717,0.146384,0.00008106
718,0.175878,0.00008099
719,0.071133,0.00008092
720,0.200180,0.00008085
721,0.493279,0.00008078
722,0.120220,0.00008071
723,0.070336,0.00008065
724,0.148474,0.00008058
725,0.089610,0.00008051
726,0.092623,0.00008044
727,0.117228,0.00008037
728,0.108125,0.00008030
729,0.079235,0.00008023
730,0.140905,0.00008016
731,0.100820,0.00008009
732,0.079586,0.00008002
733,0.152745,0.00007995
734,0.111770,0.00007988
735,0.369956,0.00007981
736,0.089244,0.00007974
737,0.129338,0.00007967
738,0.071088,0.00007960
739,0.063831,0.00007953
740,0.140498,0.00007946
741,0.197667,0.00007939
742,0.189461,0.00007932
743,0.146780,0.00007925
744,0.116351,0.00007918
745,0.105417,0.00007911
746,0.131435,0.00007904
747,0.094217,0.00007896
748,0.068768,0.00007889
749,0.075566,0.00007882
750,0.137508,0.00007875
751,0.074986,0.00007868
752,0.088366,0.00007861
753,0.089023,0.00007854
754,0.225455,0.00007846
755,0.119543,0.00007839
756,0.443642,0.00007832
757,0.043331,0.00007825
758,0.139225,0.00007818
759,0.125772,0.00007810
760,0.143060,0.00007803
761,0.215020,0.00007796
762,0.129606,0.00007789
763,0.008371,0.00007781
764,0.092202,0.00007774
765,0.152521,0.00007767
766,0.122331,0.00007760
767,0.154609,0.00007752
768,0.077744,0.00007745
769,0.112392,0.00007738
770,0.113161,0.00007731
771,0.149998,0.00007723
